datetime_utc,candle_close_utc,current_price,candle_low,entry_price,current_return_pct,intraday_low_ret_pct,target_return_pct,sl_pct,sl_price,tp_price,days_held,horizon_days,exit_triggered
2026-07-23 01:01:23,2026-07-23 01:00:00,65999.0,65998.0,66086.0,-0.1316,-0.1332,4.3711,-0.65,65656.44,68974.7,0.038,7,none
2026-07-23 01:06:11,2026-07-23 01:05:00,66168.0,66118.0,66086.0,0.1241,0.0484,4.3711,-0.65,65656.44,68974.7,0.042,7,none
2026-07-23 01:11:12,2026-07-23 01:10:00,66021.0,65989.0,66086.0,-0.0984,-0.1468,4.3711,-0.65,65656.44,68974.7,0.045,7,none
2026-07-23 01:16:09,2026-07-23 01:15:00,65995.0,65995.0,66086.0,-0.1377,-0.1377,4.3711,-0.65,65656.44,68974.7,0.049,7,none
2026-07-23 01:21:10,2026-07-23 01:20:00,65893.0,65857.0,66086.0,-0.292,-0.3465,4.3711,-0.65,65656.44,68974.7,0.052,7,none
2026-07-23 01:26:07,2026-07-23 01:25:00,65895.0,65869.0,66086.0,-0.289,-0.3284,4.3711,-0.65,65656.44,68974.7,0.056,7,none
2026-07-23 01:31:20,2026-07-23 01:30:00,65834.0,65834.0,66086.0,-0.3813,-0.3813,4.3711,-0.65,65656.44,68974.7,0.059,7,none
2026-07-23 01:36:13,2026-07-23 01:35:00,65818.0,65799.0,66086.0,-0.4055,-0.4343,4.3711,-0.65,65656.44,68974.7,0.063,7,none
2026-07-23 01:41:10,2026-07-23 01:40:00,65742.0,65712.0,66086.0,-0.5205,-0.5659,4.3711,-0.65,65656.44,68974.7,0.066,7,none
2026-07-23 01:46:08,2026-07-23 01:45:00,65797.0,65756.0,66086.0,-0.4373,-0.4993,4.3711,-0.65,65656.44,68974.7,0.069,7,none
2026-07-23 01:51:09,2026-07-23 01:50:00,65805.0,65797.0,66086.0,-0.4252,-0.4373,4.3711,-0.65,65656.44,68974.7,0.073,7,none
2026-07-23 01:56:11,2026-07-23 01:55:00,65830.0,65830.0,66086.0,-0.3874,-0.3874,4.3711,-0.65,65656.44,68974.7,0.076,7,none
2026-07-23 02:01:25,2026-07-23 02:00:00,65756.0,65756.0,66086.0,-0.4993,-0.4993,4.3711,-0.65,65656.44,68974.7,0.08,7,none
2026-07-23 02:06:12,2026-07-23 02:05:00,65795.0,65763.0,66086.0,-0.4403,-0.4888,4.3711,-0.65,65656.44,68974.7,0.083,7,none
2026-07-23 02:11:13,2026-07-23 02:10:00,65802.0,65784.0,66086.0,-0.4297,-0.457,4.3711,-0.65,65656.44,68974.7,0.087,7,none
2026-07-23 02:16:11,2026-07-23 02:15:00,65727.0,65683.0,66086.0,-0.5432,-0.6098,4.3711,-0.65,65656.44,68974.7,0.09,7,none
2026-07-23 02:21:15,2026-07-23 02:20:00,65713.0,65712.0,66086.0,-0.5644,-0.5659,4.3711,-0.65,65656.44,68974.7,0.094,7,none
2026-07-23 02:26:05,2026-07-23 02:25:00,65665.0,65664.0,66086.0,-0.637,-0.6386,4.3711,-0.65,65656.44,68974.7,0.097,7,none
2026-07-23 02:31:20,2026-07-23 02:30:00,65703.0,65687.0,66086.0,-0.5795,-0.6038,4.3711,-0.65,65656.44,68974.7,0.101,7,none
2026-07-23 02:36:14,2026-07-23 02:35:00,65792.0,65785.0,66086.0,-0.4449,-0.4555,4.3711,-0.65,65656.44,68974.7,0.104,7,none
2026-07-23 02:41:13,2026-07-23 02:40:00,65719.0,65699.0,66086.0,-0.5553,-0.5856,4.3711,-0.65,65656.44,68974.7,0.108,7,none
2026-07-23 02:46:10,2026-07-23 02:45:00,65799.0,65748.0,66086.0,-0.4343,-0.5115,4.3711,-0.65,65656.44,68974.7,0.111,7,none
2026-07-23 02:51:14,2026-07-23 02:50:00,65751.0,65744.0,66086.0,-0.5069,-0.5175,4.3711,-0.65,65656.44,68974.7,0.115,7,none
2026-07-23 02:56:12,2026-07-23 02:55:00,65764.0,65750.0,66086.0,-0.4872,-0.5084,4.3711,-0.65,65656.44,68974.7,0.118,7,none
2026-07-23 03:01:22,2026-07-23 03:00:00,65771.0,65771.0,66086.0,-0.4767,-0.4767,4.3711,-0.65,65656.44,68974.7,0.122,7,none
2026-07-23 03:06:05,2026-07-23 03:05:00,65674.0,65674.0,66086.0,-0.6234,-0.6234,4.3711,-0.65,65656.44,68974.7,0.125,7,none
2026-07-23 03:11:11,2026-07-23 03:10:00,65676.0,65674.0,66086.0,-0.6204,-0.6234,4.3711,-0.65,65656.44,68974.7,0.128,7,none
2026-07-23 03:16:08,2026-07-23 03:15:00,65586.0,65576.0,66086.0,-0.7566,-0.7717,4.3711,-0.65,65656.44,68974.7,0.132,7,stop_loss
2026-07-24 00:06:21,2026-07-24 00:05:00,64917.0,64917.0,65069.0,-0.2336,-0.2336,2.0652,-1.0326,64397.1,66412.8,0.0,7,none
2026-07-24 00:11:12,2026-07-24 00:10:00,64876.0,64875.0,65069.0,-0.2966,-0.2981,2.0652,-1.0326,64397.1,66412.8,0.004,7,none
2026-07-24 00:14:22,2026-07-24 00:13:00,64921.0,64907.0,65069.0,-0.2275,-0.249,2.0652,-1.0326,64397.1,66412.8,0.006,7,none
2026-07-24 00:16:08,2026-07-24 00:15:00,64901.0,64899.0,65069.0,-0.2582,-0.2613,2.0652,-1.0326,64397.1,66412.8,0.007,7,none
2026-07-24 00:21:09,2026-07-24 00:20:00,64888.0,64869.0,65069.0,-0.2782,-0.3074,2.0652,-1.0326,64397.1,66412.8,0.01,7,none
2026-07-24 00:26:04,2026-07-24 00:25:00,64889.0,64888.0,65069.0,-0.2766,-0.2782,2.0652,-1.0326,64397.1,66412.8,0.014,7,none
2026-07-24 00:31:29,2026-07-24 00:30:00,64850.0,64850.0,65069.0,-0.3366,-0.3366,2.0652,-1.0326,64397.1,66412.8,0.018,7,none
2026-07-24 00:36:10,2026-07-24 00:35:00,64846.0,64798.0,65069.0,-0.3427,-0.4165,2.0652,-1.0326,64397.1,66412.8,0.021,7,none
2026-07-24 00:41:10,2026-07-24 00:40:00,64733.0,64721.0,65069.0,-0.5164,-0.5348,2.0652,-1.0326,64397.1,66412.8,0.024,7,none
2026-07-24 00:46:07,2026-07-24 00:45:00,64877.0,64815.0,65069.0,-0.2951,-0.3904,2.0652,-1.0326,64397.1,66412.8,0.028,7,none
2026-07-24 00:51:18,2026-07-24 00:50:00,64908.0,64882.0,65069.0,-0.2474,-0.2874,2.0652,-1.0326,64397.1,66412.8,0.031,7,none
2026-07-24 00:56:11,2026-07-24 00:55:00,64889.0,64866.0,65069.0,-0.2766,-0.312,2.0652,-1.0326,64397.1,66412.8,0.035,7,none
2026-07-24 01:01:20,2026-07-24 01:00:00,64923.0,64923.0,65069.0,-0.2244,-0.2244,2.0652,-1.0326,64397.1,66412.8,0.038,7,none
2026-07-24 01:06:10,2026-07-24 01:05:00,65057.0,65056.0,65069.0,-0.0184,-0.02,2.0652,-1.0326,64397.1,66412.8,0.042,7,none
